code,name
# 주봉분석 관찰 유니버스 — 시장 주도 대형주. 진우님이 자유롭게 추가/삭제. (매수 추천 아님)
# 반도체
005930,삼성전자
000660,SK하이닉스
042700,한미반도체
# 반도체 소부장/밸류체인
058470,리노공업
039030,이오테크닉스
403870,HPSP
036930,주성엔지니어링
067310,하나마이크론
089030,테크윙
# 2차전지
247540,에코프로비엠
373220,LG에너지솔루션
006400,삼성SDI
003670,POSCO퓨처엠
051910,LG화학
# 방산
012450,한화에어로스페이스
079550,LIG넥스원
# 조선
329180,HD현대중공업
042660,한화오션
010140,삼성중공업
009540,HD한국조선해양
# 전력기기/AI인프라
267260,HD현대일렉트릭
010120,LS ELECTRIC
298040,효성중공업
001440,대한전선
# 자동차
005380,현대차
000270,기아
012330,현대모비스
# 바이오
207940,삼성바이오로직스
068270,셀트리온
196170,알테오젠
# 인터넷/게임
035420,NAVER
035720,카카오
259960,크래프톤
# 금융/철강/원전
105560,KB금융
055550,신한지주
005490,POSCO홀딩스
028260,삼성물산
034020,두산에너빌리티
