code,name
000080,하이트진로
000100,유한양행
000120,CJ대한통운
000150,두산
000155,두산우
000240,한국앤컴퍼니
000250,삼천당제약
000270,기아
000500,가온전선
000660,SK하이닉스
000720,현대건설
000810,삼성화재
000815,삼성화재우
000880,한화
000990,DB하이텍
0009K0,에임드바이오
001040,CJ
001120,LX인터내셔널
001430,세아베스틸지주
001440,대한전선
001450,현대해상
001720,신영증권
001740,SK네트웍스
001800,오리온홀딩스
002380,KCC
002790,아모레G
003230,삼양식품
003380,하림지주
003490,대한항공
003540,대신증권
003550,LG
003570,S&T중공업
003670,포스코퓨처엠
003690,코리안리
004000,롯데정밀화학
004020,현대제철
004170,신세계
004370,농심
004800,효성
004990,롯데지주
005070,코스모신소재
005290,동진쎄미켐
005380,현대차
005385,현대차우
005387,현대차2우B
005440,현대지에프홀딩스
005490,POSCO홀딩스
005830,DB손해보험
005850,에스엘
005930,삼성전자
005935,삼성전자우
005940,NH투자증권
006040,동원산업
006260,LS
006280,녹십자
006340,대원전선
006360,GS건설
006400,삼성SDI
006800,미래에셋증권
00680K,미래에셋증권2우B
007070,GS리테일
007310,오뚜기
007340,DN오토모티브
007390,네이처셀
007660,이수페타시스
007810,코리아써키트
008770,호텔신라
008930,한미사이언스
009150,삼성전기
009155,삼성전기우
009420,한올바이오파마
009540,HD한국조선해양
009830,한화솔루션
009970,영원무역홀딩스
010060,OCI홀딩스
010120,LS일렉트릭
010130,고려아연
010140,삼성중공업
010170,대한광통신
010950,S-Oil
011070,LG이노텍
011170,롯데케미칼
011200,HMM
011210,현대위아
011780,금호석유
011790,SKC
012330,현대모비스
012450,한화에어로
012510,더존비즈온
012630,HDC
0126Z0,삼성에피스홀딩스
012750,에스원
014680,한솔케미칼
015760,한국전력
016360,삼성증권
017670,SK텔레콤
017800,현대엘리베이터
017960,한국카본
018260,삼성에스디에스
018670,SK가스
018880,한온시스템
020150,롯데에너지머티리얼즈
020560,아시아나항공
021240,코웨이
022100,포스코DX
023530,롯데쇼핑
023590,다우기술
024110,기업은행
026960,동서
028050,삼성E&A
028260,삼성물산
028300,HLB
028670,팬오션
029780,삼성카드
030000,제일기획
030200,KT
030530,원익홀딩스
030610,교보증권
031210,서울보증보험
031330,에스에이엠티
031980,피에스케이홀딩스
