date,open,high,low,close,adjclose,volume
1997-05-15,0.121875,0.125,0.096354,0.097916998,0.097916998,1443120000
1997-05-16,0.098438002,0.098958001,0.085417002,0.086457998,0.086457998,294000000
1997-05-19,0.088021003,0.088541999,0.081249997,0.085417002,0.085417002,122136000
1997-05-20,0.086457998,0.087499999,0.081771001,0.081771001,0.081771001,109344000
1997-05-21,0.081771001,0.082291998,0.068750001,0.071354002,0.071354002,377064000
1997-05-22,0.071874999,0.072396003,0.065624997,0.069792002,0.069792002,235536000
1997-05-23,0.070312999,0.076041996,0.066666998,0.075000003,0.075000003,318744000
1997-05-27,0.075521,0.082291998,0.072916999,0.079167001,0.079167001,173952000
1997-05-28,0.081249997,0.081771001,0.076563001,0.076563001,0.076563001,91488000
1997-05-29,0.077082999,0.077082999,0.073958002,0.075259998,0.075259998,69456000
1997-05-30,0.075000003,0.075521,0.073958002,0.075000003,0.075000003,51888000
1997-06-02,0.075521,0.076563001,0.075000003,0.075521,0.075521,11832000
1997-06-03,0.076563001,0.076563001,0.073958002,0.073958002,0.073958002,23664000
1997-06-04,0.073958002,0.074478999,0.069792002,0.070832998,0.070832998,61608000
1997-06-05,0.070832998,0.077082999,0.068750001,0.077082999,0.077082999,113448000
1997-06-06,0.075781003,0.085417002,0.075521,0.082813002,0.082813002,156144000
1997-06-09,0.082813002,0.085417002,0.082813002,0.084375001,0.084375001,47040000
1997-06-10,0.085417002,0.085417002,0.076563001,0.079167001,0.079167001,109176000
1997-06-11,0.079687998,0.080208004,0.076563001,0.077082999,0.077082999,23760000
1997-06-12,0.079167001,0.082291998,0.077604003,0.080208004,0.080208004,32640000
1997-06-13,0.081249997,0.081249997,0.079167001,0.079167001,0.079167001,13872000
1997-06-16,0.080208004,0.080208004,0.078125,0.078645997,0.078645997,18264000
1997-06-17,0.079948001,0.079948001,0.07474,0.075259998,0.075259998,94128000
1997-06-18,0.076041996,0.076823004,0.075000003,0.075521,0.075521,49296000
1997-06-19,0.075521,0.076563001,0.075000003,0.075521,0.075521,20064000
1997-06-20,0.076563001,0.077604003,0.075000003,0.076301999,0.076301999,67752000
1997-06-23,0.077082999,0.077082999,0.073958002,0.075000003,0.075000003,20952000
1997-06-24,0.075259998,0.076301999,0.073958002,0.075521,0.075521,15024000
1997-06-25,0.076301999,0.076301999,0.074478999,0.075521,0.075521,42120000
1997-06-26,0.076041996,0.076041996,0.075259998,0.075521,0.075521,63792000
1997-06-27,0.075781003,0.075781003,0.073958002,0.074478999,0.074478999,23760000
1997-06-30,0.075521,0.079948001,0.073958002,0.077082999,0.077082999,54936000
1997-07-01,0.077082999,0.077082999,0.075521,0.075781003,0.075781003,25848000
1997-07-02,0.075781003,0.079687998,0.075521,0.079426996,0.079426996,77640000
1997-07-03,0.079948001,0.095833004,0.079687998,0.095573001,0.095573001,251544000
1997-07-07,0.091666996,0.101042,0.091666996,0.1,0.1,161064000
1997-07-08,0.102083,0.116667,0.102083,0.115104,0.115104,310344000
1997-07-09,0.115104,0.119271,0.113542,0.116146,0.116146,165240000
1997-07-10,0.116667,0.128646,0.116667,0.128125,0.128125,181032000
1997-07-11,0.12604199,0.12604199,0.110417,0.114583,0.114583,210624000
